Family	Count	Hits	TotMarkerLength
gb|AAA67509_1|ARO_3003554|tcmA__Streptomyces_glaucescens_	0.0	0	300
gb|AAA71915_1|ARO_3000173|tet(E)__Escherichia_coli_	0.0750324870635311	2	300
gb|AAA73865_1|ARO_3002674|catB__Clostridium_butyricum_	0.0	0	142
gb|AAA74437_1|ARO_3000378|MexB__Pseudomonas_aeruginosa_	0.0	0	163
gb|AAA76822_1|ARO_3002654|APH(3_)-VIIa__Campylobacter_jejuni_	0.0	0	250
gb|AAA83417_1|ARO_3001407|OXA-12__Aeromonas_sobria_	0.0	0	171
gb|AAA85213_1|ARO_3002866|dfrD__Listeria_monocytogenes_	0.0	0	60
gb|AAA86871_1|ARO_3002841|vatB__Staphylococcus_aureus_	0.0	0	61
gb|AAA87176_1|ARO_3001066|SHV-7__Escherichia_coli_	0.0	0	33
gb|AAA87229_1|ARO_3002558|AAC(6_)-Ik__Acinetobacter_sp__CIP-A165_	0.0	0	22
gb|AAA88422_1|ARO_3002530|AAC(3)-Ib__Pseudomonas_aeruginosa_	0.0	0	68
gb|AAA88552_1|ARO_3002541|AAC(3)-VIIa__Streptomyces_rimosus_	0.0	0	165
gb|AAA88675_1|ARO_3000498|ErmF__Bacteroides_fragilis_	15.652931147407413	88	142
gb|AAA93461_1|ARO_3001858|IMI-1__Enterobacter_cloacae_	0.0	0	33
gb|AAA93528_1|ARO_3001409|OXA-14__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAA98096_1|ARO_3000595|ErmT__Plasmid_pGT633_	0.0	0	107
gb|AAA98296_1|ARO_3000250|ErmC__Staphylococcus_epidermidis_	0.0	0	69
gb|AAA98298_1|ARO_3002545|AAC(6_)-Ia__Plasmid_R_	0.0	0	95
gb|AAA98349_1|ARO_3001307|VgbA__Staphylococcus_aureus_	0.0	0	216
gb|AAA98406_1|ARO_3001404|OXA-9__Klebsiella_pneumoniae_	0.0	0	274
gb|AAA99503_1|ARO_3003250|bcrC__Bacillus_licheniformis_	0.0	0	167
gb|AAA99504_1|ARO_3002987|bcrA__Bacillus_licheniformis_	0.0	0	109
gb|AAA99505_1|ARO_3002988|bcrB__Bacillus_licheniformis_	0.0	0	164
gb|AAA99931_1|ARO_3003060|tsnR__Streptomyces_laurentii_	0.0	0	217
gb|AAB03413_1|ARO_3003099|cphA2__Aeromonas_hydrophila_	0.0	0	33
gb|AAB05622_1|ARO_3002921|vanRB__Enterococcus_faecalis_	0.0	0	109
gb|AAB05623_1|ARO_3002932|vanSB__Enterococcus_faecalis_	0.0	0	300
gb|AAB05624_1|ARO_3002956|vanYB__Enterococcus_faecalis_	0.0	0	115
gb|AAB05625_1|ARO_3002964|vanWB__Enterococcus_faecalis_	0.0	0	101
gb|AAB05626_1|ARO_3002943|vanHB__Enterococcus_faecalis_	0.0	0	134
gb|AAB05628_1|ARO_3002950|vanXB__Enterococcus_faecalis_	0.0	0	115
gb|AAB05874_1|ARO_3001410|OXA-15__Pseudomonas_aeruginosa_	0.0	0	34
gb|AAB17891_1|ARO_3003001|CfxA__Bacteroides_vulgatus_	0.0	0	34
gb|AAB19430_2|ARO_3002242|CARB-3__Pseudomonas_aeruginosa_	0.0	0	16
gb|AAB21326_1|ARO_3002651|APH(3_)-Vc__Micromonospora_chalcea_	0.0	0	104
gb|AAB23649_1|ARO_3002670|cat__Vibrio_anguillarum_	0.0	0	151
gb|AAB36568_1|ARO_3002700|cmlv__Streptomyces_venezuelae_ATCC_10712_	0.0	0	99
gb|AAB37395_2|ARO_3001068|SHV-9__Klebsiella_pneumoniae_	0.0	0	68
gb|AAB41059_1|ARO_3002884|iri__Rhodococcus_equi_	0.0	0	260
gb|AAB41701_1|ARO_3002526|AAC(2_)-Id__Mycobacterium_smegmatis_str__MC2_155_	0.0	0	150
gb|AAB41956_1|ARO_3000800|MexC__Pseudomonas_aeruginosa_	0.0	0	166
gb|AAB41957_1|ARO_3000801|MexD__Pseudomonas_aeruginosa_	0.0	0	98
gb|AAB41958_1|ARO_3000802|OprJ__Pseudomonas_aeruginosa_	0.0	0	140
gb|AAB49832_1|ARO_3002636|APH(2__)-IIIa__Enterococcus_gallinarum_	0.0	0	292
gb|AAB51384_1|ARO_3001067|SHV-8__Escherichia_coli_	0.0	0	33
gb|AAB51421_1|ARO_3002686|catP__Clostridium_perfringens_	0.0	0	56
gb|AAB51440_1|ARO_3002824|ErmV__Streptomyces_viridochromogenes_	0.0	0	67
gb|AAB53259_1|ARO_3002671|cat-TC__Lactobacillus_reuteri_	0.0	0	34
gb|AAB53445_1|ARO_3002897|SAT-4__Campylobacter_coli_	2.1196677595447517	3	152
gb|AAB58160_1|ARO_3003009|ceoA__Burkholderia_cepacia_	0.0	0	230
gb|AAB58161_1|ARO_3003010|ceoB__Burkholderia_cepacia_	0.0	0	102
gb|AAB58447_1|ARO_3002662|APH(9)-Ia__Legionella_pneumophila_130b_	0.0	0	252
gb|AAB58555_1|ARO_3001413|OXA-18__Pseudomonas_aeruginosa_	0.0	0	238
gb|AAB59082_1|ARO_3001397|OXA-2__Plasmid_R46_	47.48055781380241	14	33
gb|AAB63533_1|ARO_3002556|AAC(6_)-Ii__Enterococcus_faecium_	0.0	0	127
gb|AAB66655_1|ARO_3002663|APH(9)-Ib__Streptomyces_netropsis_	0.0	0	300
gb|AAB84282_1|ARO_3000181|tet(V)__Mycobacterium_smegmatis_str__MC2_155_	0.0	0	242
gb|AAB95639_1|ARO_3000118|vgaB__Staphylococcus_aureus_	0.0	0	300
gb|AAC05822_1|ARO_3002846|arr-1__Mycobacterium_smegmatis_	0.0	0	38
gb|AAC05975_1|ARO_3000929|TEM-60__Providencia_stuartii_	0.0	0	102
gb|AAC09012_1|ARO_3002243|CARB-4__Pseudomonas_aeruginosa_	0.0	0	102
gb|AAC09015_1|ARO_3002481|AER-1__Aeromonas_hydrophila_	0.9223353396870972	7	250
gb|AAC14693_1|ARO_3002637|APH(2__)-IVa__Enterococcus_casseliflavus_	0.0	0	41
gb|AAC14728_1|ARO_3002603|aadA3__Plasmid_NR79_	0.0	0	34
gb|AAC15074_1|ARO_3001412|OXA-17__Pseudomonas_aeruginosa_	16.957342076358007	5	33
gb|AAC23556_1|ARO_3002660|APH(6)-Id__Pseudomonas_aeruginosa_	1.5477842432112028	34	278
gb|AAC25500_1|ARO_3002560|AAC(6_)-Iq__Klebsiella_pneumoniae_	0.0	0	14
gb|AAC32025_1|ARO_3002650|APH(3_)-Vb__Streptomyces_ribosidificus_	0.0	0	118
gb|AAC32026_1|ARO_3002823|ErmH__Streptomyces_thermotolerans_	0.0	0	258
gb|AAC32027_1|ARO_3002817|carA__Streptomyces_thermotolerans_	0.0	0	300
gb|AAC32889_2|ARO_3000912|TEM-43__Klebsiella_pneumoniae_	0.0	0	33
gb|AAC32890_1|ARO_3001868|CTX-M-5__Salmonella_enterica_subsp__enterica_serovar_Typhimurium_	0.0	0	33
gb|AAC32891_1|ARO_3000898|TEM-28__Escherichia_coli_	0.0	0	33
gb|AAC36883_1|ARO_3000896|TEM-26__Klebsiella_pneumoniae_	0.0	0	33
gb|AAC36915_1|ARO_3000593|ErmQ__Clostridium_perfringens_	0.0	0	257
gb|AAC36944_1|ARO_3003006|blt__Bacillus_subtilis_subsp__subtilis_str__168_	0.0	0	119
gb|AAC37034_1|ARO_3000522|ErmG__Bacteroides_thetaiotaomicron_	4.396347945722452	34	133
gb|AAC41391_1|ARO_3002555|AAC(6_)-Ih__Acinetobacter_baumannii_	0.0	0	68
gb|AAC41392_1|ARO_3002557|AAC(6_)-Ij__Acinetobacter_genomosp__13_	0.0	0	19
gb|AAC41449_1|ARO_3001398|OXA-3__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAC43550_1|ARO_3003967|lrfA__Mycobacterium_smegmatis_str__MC2_155_	0.0	0	300
gb|AAC43969_1|ARO_3003037|opcM__Burkholderia_cepacia_	0.0	0	85
gb|AAC44793_1|ARO_3002524|AAC(2_)-Ib__Mycobacterium_fortuitum_	0.0	0	73
gb|AAC45086_2|ARO_3001821|ACT-1__Klebsiella_pneumoniae_	0.0	0	34
gb|AAC45805_1|ARO_3002702|cmrA__Rhodococcus_rhodochrous_	0.0	0	122
gb|AAC46343_1|ARO_3002581|AAC(6_)-Ib10__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAC46344_1|ARO_3001408|OXA-13__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAC60780_1|ARO_3003049|rosB__Yersinia_enterocolitica_(type_O_8)_	0.0	0	44
gb|AAC60781_1|ARO_3003048|rosA__Yersinia_enterocolitica_(type_O_8)_	0.0	0	67
gb|AAC61670_1|ARO_3001308|VgbB__Staphylococcus_cohnii_	0.0	0	216
gb|AAC61671_1|ARO_3002842|vatC__Staphylococcus_cohnii_	0.0	0	88
gb|AAC64365_1|ARO_3000230|ANT(2__)-Ia__Pseudomonas_aeruginosa_	0.636468603402178	7	154
gb|AAC64366_1|ARO_3002847|arr-2__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAC69327_1|ARO_3000598|Erm(31)__Streptomyces_venezuelae_	0.0	0	239
gb|AAC69328_1|ARO_3001265|Erm(30)__Streptomyces_venezuelae_	0.0	0	300
gb|AAC72341_1|ARO_3000182|tet(Y)__IncQ_plasmid_pIE1120_	0.0	0	300
gb|AAC74149_2|ARO_3001216|mdtH__Escherichia_coli_str__K-12_substr__MG1655_	0.0	3	50
gb|AAC75089_1|ARO_3003577|pmrE__Escherichia_coli_str__K-12_substr__MG1655_	2.6088218579012326	2	102
gb|AAC75135_2|ARO_3000792|mdtA__Escherichia_coli_str__K-12_substr__MG1655_	0.5383283198843819	3	122
gb|AAC75136_1|ARO_3000793|mdtB__Escherichia_coli_str__K-12_substr__MG1655_	0.0	0	13
gb|AAC75137_1|ARO_3000794|mdtC__Escherichia_coli_str__K-12_substr__MG1655_	2.6088218579012326	3	102
gb|AAC75314_1|ARO_3003578|pmrF__Escherichia_coli_str__K-12_substr__MG1655_	0.0	0	24
gb|AAC75315_1|ARO_3002985|arnA__Escherichia_coli_str__K-12_substr__MG1655_	0.0	0	56
gb|AAC75429_1|ARO_3000833|evgS__Escherichia_coli_str__K-12_substr__MG1655_	0.25091011703612376	6	300
gb|AAC75733_1|ARO_3000074|emrB__Escherichia_coli_str__K-12_substr__MG1655_	0.6280497065317789	2	31
gb|AAC76093_1|ARO_3002986|bacA__Escherichia_coli_str__K-12_substr__MG1655_	2.6088218579012326	3	102
gb|AAC76296_1|ARO_3000656|acrS__Escherichia_coli_str__K-12_substr__MG1655_	0.6522054644753088	2	101
gb|AAC76297_1|ARO_3000499|acrE__Escherichia_coli_str__K-12_substr__MG1655_	1.472486286742574	5	28
gb|AAC76298_1|ARO_3000502|acrF__Escherichia_coli_str__K-12_substr__MG1655_	1.222885245891204	3	37
gb|AAC76539_1|ARO_3000796|mdtF__Escherichia_coli_str__K-12_substr__MG1655_	0.49151716163356607	3	42
gb|AAC77293_1|ARO_3001214|mdtM__Escherichia_coli_str__K-12_substr__MG1655_	0.0	0	200
gb|AAC78336_1|ARO_3002826|EreA2__Providencia_stuartii_	1.5415765523961844	3	11
gb|AAC98092_2|ARO_3001075|SHV-16__Klebsiella_pneumoniae_	0.0	0	68
gb|AAD01868_1|ARO_3002867|dfrF__Enterococcus_faecalis_	7.505313167572126	39	112
gb|AAD03490_1|ARO_3002561|AAC(6_)-Ir__Acinetobacter_genomosp__14_	0.0	0	34
gb|AAD03491_1|ARO_3002562|AAC(6_)-Is__Acinetobacter_genomosp__15_	0.0	0	20
gb|AAD03492_1|ARO_3002564|AAC(6_)-It__Acinetobacter_genomosp__16BJ_	0.0	0	68
gb|AAD03493_1|ARO_3002565|AAC(6_)-Iu__Acinetobacter_genomosp__17BJ_	0.0	0	34
gb|AAD03494_1|ARO_3002566|AAC(6_)-Iv__Acinetobacter_sp__631_	0.0	0	68
gb|AAD03495_1|ARO_3002567|AAC(6_)-Iw__Acinetobacter_sp__640_	0.0	0	10
gb|AAD03496_1|ARO_3002568|AAC(6_)-Ix__Acinetobacter_sp__BM2722_	0.0	0	68
gb|AAD04032_1|ARO_3002892|otr(B)__Streptomyces_rimosus_	0.0	0	300
gb|AAD09860_1|ARO_3000561|tet(30)__Agrobacterium_tumefaciens_str__C58_	0.0	0	300
gb|AAD12162_1|ARO_3001299|tlrB_conferring_tylosin_resistance__Streptomyces_fradiae_	0.0	0	223
gb|AAD12233_1|ARO_3001417|OXA-22__Ralstonia_pickettii_	0.0	0	205
gb|AAD12753_1|ARO_3000177|tet(J)__Proteus_mirabilis_	0.0	0	125
gb|AAD19217_1|ARO_3002245|CARB-6__Vibrio_cholerae_	0.0	0	34
gb|AAD20273_1|ARO_3002256|IND-1__Chryseobacterium_indologenes_	0.0	0	33
gb|AAD22144_1|ARO_3002698|cmlB__Enterobacter_aerogenes_	0.0	0	97
gb|AAD22403_1|ARO_3002970|vanTC__Enterococcus_gallinarum_	0.0	0	292
gb|AAD22539_1|ARO_3000923|TEM-54__Escherichia_coli_	0.0	0	34
gb|AAD22636_1|ARO_3002166|MIR-1__Klebsiella_pneumoniae_	0.0	0	33
gb|AAD23513_1|ARO_3003002|CfxA2__Prevotella_intermedia_	132.26726819559244	39	33
gb|AAD25063_1|ARO_3000183|tet(Z)__Corynebacterium_glutamicum_	0.0	0	290
gb|AAD25538_1|ARO_3000174|tet(G)__Pseudomonas_sp__	0.0	1	267
gb|AAD33116_2|ARO_3000934|TEM-67__Proteus_mirabilis_	0.0	0	34
gb|AAD37403_1|ARO_3003202|TLA-1__Escherichia_coli_	0.0	0	29
gb|AAD43815_1|ARO_3001072|SHV-13__Klebsiella_pneumoniae_	3.3914684152716013	1	33
gb|AAD45935_1|ARO_3000928|TEM-59__Klebsiella_oxytoca_	0.0	0	33
gb|AAD46626_1|ARO_3002596|AAC(6_)-IIc__Pseudomonas_aeruginosa_	0.0	0	42
gb|AAD50818_2|ARO_3002019|CMY-8__Klebsiella_pneumoniae_	0.0	0	33
gb|AAD51344_1|ARO_3003051|smeA__Stenotrophomonas_maltophilia_	0.0	0	286
gb|AAD51345_1|ARO_3003052|smeB__Stenotrophomonas_maltophilia_	0.0	0	298
gb|AAD51346_1|ARO_3003053|smeC__Stenotrophomonas_maltophilia_	0.0	0	215
gb|AAD51347_1|ARO_3003067|smeS__Stenotrophomonas_maltophilia_	0.0	0	268
gb|AAD51348_1|ARO_3003066|smeR__Stenotrophomonas_maltophilia_	0.0	0	153
gb|AAD52985_1|ARO_3002570|AAC(6_)-Iz__Stenotrophomonas_maltophilia_	0.0	0	30
gb|AAF01499_1|ARO_3000193|tetT__Streptococcus_pyogenes_	0.0	0	300
gb|AAF03531_1|ARO_3002569|AAC(6_)-Iy__Salmonella_enterica_subsp__enterica_serovar_Enteritidis_	0.0	0	33
gb|AAF04388_1|ARO_3001871|CTX-M-8__Citrobacter_amalonaticus_	0.0	0	34
gb|AAF04458_1|ARO_3000850|GOB-1_beta-lactamase__Elizabethkingia_meningoseptica_	0.0	0	34
gb|AAF05311_2|ARO_3001872|CTX-M-9__Escherichia_coli_	0.0	0	33
gb|AAF05611_1|ARO_3000946|TEM-79__Escherichia_coli_	0.0	0	33
gb|AAF05612_1|ARO_3000944|TEM-78__Escherichia_coli_	0.0	0	33
gb|AAF09244_1|ARO_3000849|SFH-1__Serratia_fonticola_	0.0	0	223
gb|AAF17880_1|ARO_3002605|aadA5__Escherichia_coli_	0.5138588507987282	1	11
gb|AAF19151_1|ARO_3000938|TEM-72__Morganella_morganii_	0.0	0	33
gb|AAF27723_1|ARO_3002330|GES-1__Klebsiella_pneumoniae_	0.0	0	33
gb|AAF27726_1|ARO_3002694|cmlA4__Klebsiella_pneumoniae_	0.0	0	68
gb|AAF27727_1|ARO_3002602|aadA2__Klebsiella_pneumoniae_	3.3914684152716013	1	33
gb|AAF34333_1|ARO_3001077|SHV-19__Klebsiella_pneumoniae_	0.0	0	33
gb|AAF36802_1|ARO_3002945|vanHF__Paenibacillus_popilliae_ATCC_14706_	0.0	0	79
gb|AAF36803_1|ARO_3002908|vanF__Paenibacillus_popilliae_ATCC_14706_	0.0	0	151
gb|AAF36804_1|ARO_3002952|vanXF__Paenibacillus_popilliae_ATCC_14706_	0.0	0	52
gb|AAF36805_1|ARO_3002958|vanYF__Paenibacillus_popilliae_ATCC_14706_	0.0	0	107
gb|AAF36806_1|ARO_3002963|vanZF__Paenibacillus_popilliae_ATCC_14706_	0.0	0	95
gb|AAF37209_2|ARO_3001083|SHV-25__Klebsiella_pneumoniae_	0.0	0	33
gb|AAF61331_1|ARO_3002966|vanXYC__Enterococcus_gallinarum_	0.0	0	135
gb|AAF61417_1|ARO_3002244|CARB-5__Acinetobacter_calcoaceticus_subsp__anitratus_	0.0	0	33
gb|AAF63432|ARO_3003744|vatF__Yersinia_enterocolitica_	0.0	0	109
gb|AAF66653_1|ARO_3000959|TEM-92__Proteus_mirabilis_	0.0	0	33
gb|AAF67494_2|ARO_3002522|novA__Streptomyces_niveus_	0.0	0	48
gb|AAF72531_1|ARO_3001876|CTX-M-13__Klebsiella_pneumoniae_	0.0	0	34
gb|AAF72942_1|ARO_3001423|OXA-28__Pseudomonas_aeruginosa_	0.0	0	34
gb|AAF86219_1|ARO_3000375|ErmB__Enterococcus_faecium_	3.7414776111537287	62	217
gb|AAF86220_1|ARO_3002844|vatE__Enterococcus_faecium_	0.0	0	101
gb|AAF86641_1|ARO_3002922|vanRC__Enterococcus_gallinarum_	0.0	0	65
gb|AAF86642_1|ARO_3002933|vanSC__Enterococcus_gallinarum_	0.0	0	260
gb|AAF86691_1|ARO_3001816|ACC-2__Hafnia_alvei_	0.0	0	102
gb|AAF86697_1|ARO_3001817|ACC-3__Hafnia_alvei_	0.0	0	156
gb|AAF93177_1|ARO_3001874|CTX-M-11__Klebsiella_pneumoniae_	0.0	0	68
gb|AAF94716_1|ARO_3004289|Vibrio_cholerae_varG__Vibrio_cholerae_O1_biovar_El_Tor_str__N16961_	0.0	0	203
gb|AAG03357_1|ARO_3000596|ErmX__Corynebacterium_striatum_	0.0	0	170
gb|AAG03380_1|ARO_3002703|cmx__Corynebacterium_striatum_	0.0	0	209
gb|AAG07064_1|ARO_3003693|mexK__Pseudomonas_aeruginosa_PAO1_	0.0	0	247
gb|AAG07762_1|ARO_3003030|mexV__Pseudomonas_aeruginosa_PAO1_	0.0	0	233
gb|AAG07763_1|ARO_3003031|mexW__Pseudomonas_aeruginosa_PAO1_	0.0	2	292
gb|AAG12974_1|ARO_3002159|FOX-5__Klebsiella_pneumoniae_	0.0	0	33
gb|AAG15269_1|ARO_3002528|AAC(3)-Ia__Pseudomonas_aeruginosa_	0.0	0	102
gb|AAG15384_1|ARO_3001086|SHV-28__Klebsiella_pneumoniae_	0.0	0	33
gb|AAG16656_1|ARO_3002705|floR__Escherichia_coli_	0.0	0	29
gb|AAG24866_1|ARO_3001430|OXA-36__Pseudomonas_aeruginosa_	2.6088218579012326	2	68
gb|AAG27703_1|ARO_3002273|VIM-3__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAG29757_1|ARO_3002257|IND-2__Chryseobacterium_indologenes_	0.0	0	33
gb|AAG29760_1|ARO_3002258|IND-2a__Chryseobacterium_indologenes_	0.0	0	33
gb|AAG29761_2|ARO_3002259|IND-3__Chryseobacterium_indologenes_	0.0	0	10
gb|AAG29765_2|ARO_3002260|IND-4__Chryseobacterium_indologenes_	0.0	0	70
gb|AAG29813_1|ARO_3002380|SME-2__Serratia_marcescens_	0.0	0	34
gb|AAG33665_1|ARO_3001431|OXA-37__Acinetobacter_baumannii_	0.0	0	33
gb|AAG34108_1|ARO_3001875|CTX-M-12__Klebsiella_pneumoniae_	0.0	0	33
gb|AAG35607_1|ARO_3001420|OXA-25__Acinetobacter_baumannii_	0.0	0	68
gb|AAG35608_1|ARO_3001421|OXA-26__Acinetobacter_baumannii_	0.0	0	33
gb|AAG35609_2|ARO_3001422|OXA-27__Acinetobacter_baumannii_	0.0	0	33
gb|AAG36927_1|ARO_3002133|DHA-2__Klebsiella_pneumoniae_	0.0	0	34
gb|AAG44570_1|ARO_3000954|TEM-87__Proteus_mirabilis_	0.0	0	34
gb|AAG45720_1|ARO_3001405|OXA-10__Escherichia_coli_	10.174405245814805	3	33
gb|AAG49894_1|ARO_3001087|SHV-29__Klebsiella_pneumoniae_	0.0	0	34
gb|AAK01167_1|ARO_3002819|msrC__Enterococcus_faecium_	0.0	0	300
gb|AAK07612_2|ARO_3000604|Erm(35)__Bacteroides_coprosuis_DSM_18011_	0.0	0	164
gb|AAK12087_1|ARO_3002198|IMP-7__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAK13078_1|ARO_3002195|IMP-4__Acinetobacter_baumannii_	0.0	0	33
gb|AAK13430_1|ARO_3002238|IMP-47__Klebsiella_pneumoniae_	0.0	0	33
gb|AAK14293_1|ARO_3002378|VEB-9__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAK14791|ARO_3004239|NPS-1__Pseudomonas_aeruginosa_	0.0	0	102
gb|AAK14792_1|ARO_3000955|TEM-88__Klebsiella_pneumoniae_	0.0	0	34
gb|AAK15582_1|ARO_3001428|OXA-34__Pseudomonas_aeruginosa_	0.0	0	34
gb|AAK18183_1|ARO_3002337|GES-8__Pseudomonas_aeruginosa_	0.0	0	34
gb|AAK26252_2|ARO_3002583|AAC(6_)-29a__Pseudomonas_aeruginosa_	0.0	0	34
gb|AAK27847_1|ARO_3002196|IMP-5__Acinetobacter_baumannii_	0.0	0	33
gb|AAK30619_1|ARO_3000957|TEM-90__Escherichia_coli_	0.0	0	34
gb|AAK31368_1|ARO_3002021|CMY-10__Enterobacter_aerogenes_	0.0	0	33
gb|AAK37619_1|ARO_3000481|tet(35)__Vibrio_harveyi_	0.0	0	42
gb|AAK38324_1|ARO_3000840|JOHN-1_beta-lactamase__Flavobacterium_johnsoniae_UW101_	0.0	0	227
gb|AAK52604_1|ARO_3001425|OXA-31__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAK52606_1|ARO_3002696|cmlA6__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAK55330_1|ARO_3001768|OXA-118__Burkholderia_cepacia_	0.0	0	34
gb|AAK59385_1|ARO_3002200|IMP-9__Pseudomonas_aeruginosa_	0.0	0	33
gb|AAK60186_1|ARO_3003014|dfrA16__Escherichia_coli_	0.0	0	39
gb|AAK63040_1|ARO_3002635|APH(2__)-IIa__Escherichia_coli_	0.030498816684097176	1	271
gb|AAK63041_1|ARO_3002559|AAC(6_)-Ip__Escherichia_coli_	0.0	1	124
gb|AAK63223_1|ARO_3003561|Sed1_beta-lactamase__Citrobacter_sedlakii_	0.0	0	39
gb|AAK64187_1|ARO_3001092|SHV-34__Escherichia_coli_	0.0	0	34
gb|AAK69830_1|ARO_3002455|LEN-2__Klebsiella_pneumoniae_	0.0	0	33
gb|AAK70220_1|ARO_3002312|KPC-1__Klebsiella_pneumoniae_	0.0	0	33
gb|AAK71471_1|ARO_3001880|CTX-M-17__Klebsiella_pneumoniae_	0.0	0	34
